airport,airport_full_name,total_flights,delayed_flights,cancelled_flights,total_delay_minutes,delay_rate,cancellation_rate,avg_delay_minutes
ALW,"Walla Walla, WA: Walla Walla Regional",3956.0,486.0,145.0,22082.0,0.12285136501516683,0.03665318503538928,45.43621399176955
AMA,"Amarillo, TX: Rick Husband Amarillo International",31653.0,6138.0,881.0,417927.0,0.19391526869491044,0.02783306479638581,68.08846529814272
ANC,"Anchorage, AK: Ted Stevens Anchorage International",119186.0,24011.0,2378.0,1206862.0,0.2014582249593073,0.01995200778614938,50.262879513556285
APN,"Alpena, MI: Alpena County Regional",3554.0,563.0,97.0,49693.0,0.15841305571187395,0.027293190770962296,88.26465364120781
ART,"Watertown, NY: Watertown International",3997.0,487.0,140.0,53143.0,0.12184138103577684,0.03502626970227671,109.12320328542094
ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",39403.0,10461.0,2195.0,915134.0,0.2654873994365911,0.05570641829302338,87.48054679284964
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1914971.0,284469.0,31152.0,21313080.0,0.1485500302615549,0.01626760927450076,74.92232897081932
ATW,"Appleton, WI: Appleton International",40645.0,8374.0,823.0,639167.0,0.20602780169762577,0.020248493049575593,76.32756149988059
ATY,"Watertown, SD: Watertown Regional",1531.0,183.0,38.0,15129.0,0.11952971913781842,0.024820378837361202,82.67213114754098
AUS,"Austin, TX: Austin - Bergstrom International",457990.0,95733.0,9071.0,5807905.0,0.20902858141007447,0.019806109303696588,60.66774257570535
AVL,"Asheville, NC: Asheville Regional",66502.0,13426.0,1983.0,971617.0,0.2018886650025563,0.029818652070614418,72.3683152092954
AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",17835.0,3524.0,534.0,262179.0,0.19758901037286236,0.02994112699747687,74.39812712826334
AZA,"Phoenix, AZ: Mesa Gateway",3478.0,745.0,11.0,67856.0,0.21420356526739506,0.0031627372052903968,91.08187919463087
AZA,"Phoenix, AZ: Phoenix - Mesa Gateway",31581.0,7809.0,930.0,572000.0,0.24726892751971122,0.02944808587441816,73.24881546933025
AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",11493.0,1839.0,268.0,156743.0,0.16001044113808405,0.023318541721047595,85.23273518216422
BDL,"Hartford, CT: Bradley International",131836.0,28211.0,3080.0,1853160.0,0.21398555781425407,0.02336235929488152,65.68927014285208
BET,"Bethel, AK: Bethel Airport",4340.0,696.0,108.0,34598.0,0.16036866359447005,0.02488479262672811,49.70977011494253
BFF,"Scottsbluff, NE: Scottsbluff W Neb Regional Wm B Heilig Field",367.0,83.0,4.0,6053.0,0.22615803814713897,0.010899182561307902,72.92771084337349
BFF,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",3516.0,570.0,100.0,50529.0,0.1621160409556314,0.02844141069397042,88.64736842105263
BFL,"Bakersfield, CA: Meadows Field",15496.0,2940.0,228.0,231002.0,0.1897263810015488,0.01471347444501807,78.57210884353742
BFM,"Mobile, AL: Mobile Downtown",46.0,9.0,6.0,426.0,0.1956521739130435,0.13043478260869565,47.333333333333336
BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",2563.0,350.0,69.0,27160.0,0.13655872024970736,0.026921576277799453,77.6
BGR,"Bangor, ME: Bangor International",29675.0,5221.0,1145.0,376901.0,0.17593934288121313,0.038584667228306654,72.18942731277534
BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",99536.0,20460.0,2222.0,1310899.0,0.20555376949043563,0.02232358141777849,64.07130987292278
BIH,"Bishop, CA: Bishop Airport",1194.0,304.0,44.0,24770.0,0.254606365159129,0.03685092127303183,81.48026315789474
BIL,"Billings, MT: Billings Logan International",30133.0,4874.0,371.0,287627.0,0.1617495768758504,0.012312083098264362,59.01251538777185
BIS,"Bismarck/Mandan, ND: Bismarck Municipal",23724.0,4029.0,503.0,286286.0,0.16982802225594334,0.02120215815208228,71.05634152395135
